StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q3#1_1,Q3#1_2,Q3#1_3,Q3#1_4,Q3#1_5,Q3#1_6,Q3#2_1,Q3#2_2,Q3#2_3,Q3#2_4,Q3#2_5,Q3#2_6,Q16#1_1,Q16#1_2,Q16#1_3,Q16#1_4,Q16#1_5,Q16#1_6,Q16#2_1,Q16#2_2,Q16#2_3,Q16#2_4,Q16#2_5,Q16#2_6,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q14#1_1,Q14#1_2,Q14#1_3,Q14#1_4,Q14#1_5,Q14#1_6,Q14#2_1,Q14#2_2,Q14#2_3,Q14#2_4,Q14#2_5,Q14#2_6,Q17#1_1,Q17#1_2,Q17#1_3,Q17#1_4,Q17#1_5,Q17#1_6,Q17#2_1,Q17#2_2,Q17#2_3,Q17#2_4,Q17#2_5,Q17#2_6,Q6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_6_TEXT,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_6_TEXT,Q18,disease,unique_code,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Accept Roberts's decision to not take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Notify a trusted person selected by Robert","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Notify Robert's doctor about his decision","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Repeat the request to take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Refuse to serve dinner until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Not to let Robert watch TV until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Accept Roberts's decision to not take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Notify a trusted person selected by Robert","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Notify Robert's doctor about his decision","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Repeat the request to take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Refuse to serve dinner until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Not to let Robert watch TV until the medication is taken","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Accept Roberts's decision to not take the medication","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Notify a trusted person selected by Robert","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Notify Robert's doctor about his decision","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Repeat the request to take the medication","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Refuse to serve dinner until the medication is taken","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Not to let Robert watch TV until the medication is taken","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Accept Roberts's decision to not take the medication","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Notify a trusted person selected by Robert","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Notify Robert's doctor about his decision","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Repeat the request to take the medication","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Refuse to serve dinner until the medication is taken","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Not to let Robert watch TV until the medication is taken",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Accept Roberts's decision to not take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Notify a trusted person selected by Robert","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Notify Robert's doctor about his decision","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Repeat the request to take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Refuse to serve dinner until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Nurse - Not to let Robert watch TV until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Accept Roberts's decision to not take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Notify a trusted person selected by Robert","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Notify Robert's doctor about his decision","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Repeat the request to take the medication","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Refuse to serve dinner until the medication is taken","Imagine either a nurse or a robot is charged with ensuring that Robert, an older patient, takes h... - Robot - Not to let Robert watch TV until the medication is taken","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Accept Roberts's decision to not take the medication","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Notify a trusted person selected by Robert","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Notify Robert's doctor about his decision","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Repeat the request to take the medication","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Refuse to serve dinner until the medication is taken","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Nurse - Not to let Robert watch TV until the medication is taken","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Accept Roberts's decision to not take the medication","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Notify a trusted person selected by Robert","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Notify Robert's doctor about his decision","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Repeat the request to take the medication","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Refuse to serve dinner until the medication is taken","To demonstrate you have answered the question on the previous page carefully, please rate the fol... - Robot - Not to let Robert watch TV until the medication is taken",What year were you born?,What is your gender identity? You may select multiple options. - Selected Choice - Male,What is your gender identity? You may select multiple options. - Selected Choice - Female,What is your gender identity? You may select multiple options. - Selected Choice - Transgender,What is your gender identity? You may select multiple options. - Selected Choice - Genderqueer/Gender Non-Conforming,What is your gender identity? You may select multiple options. - Selected Choice - Prefer not to say,What is your gender identity? You may select multiple options. - Selected Choice - Other (optional: specify),What is your gender identity? You may select multiple options. - Other (optional: specify) - Text,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - White,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - Black or African American,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - American Indian or Alaska Native,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - Asian,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - Native Hawaiian or Pacific Islander,Choose one or more ethnic backgrounds that you consider yourself to be: - Selected Choice - Other,Choose one or more ethnic backgrounds that you consider yourself to be: - Other - Text,"If you wish, you can use the box below to share your thoughts and comments about this study.",disease,unique_code,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20_FIRST_CLICK""}","{""ImportId"":""QID20_LAST_CLICK""}","{""ImportId"":""QID20_PAGE_SUBMIT""}","{""ImportId"":""QID20_CLICK_COUNT""}","{""ImportId"":""QID2#1_1""}","{""ImportId"":""QID2#1_2""}","{""ImportId"":""QID2#1_3""}","{""ImportId"":""QID2#1_4""}","{""ImportId"":""QID2#1_5""}","{""ImportId"":""QID2#1_6""}","{""ImportId"":""QID2#2_1""}","{""ImportId"":""QID2#2_2""}","{""ImportId"":""QID2#2_3""}","{""ImportId"":""QID2#2_4""}","{""ImportId"":""QID2#2_5""}","{""ImportId"":""QID2#2_6""}","{""ImportId"":""QID16#1_1""}","{""ImportId"":""QID16#1_2""}","{""ImportId"":""QID16#1_3""}","{""ImportId"":""QID16#1_4""}","{""ImportId"":""QID16#1_5""}","{""ImportId"":""QID16#1_6""}","{""ImportId"":""QID16#2_1""}","{""ImportId"":""QID16#2_2""}","{""ImportId"":""QID16#2_3""}","{""ImportId"":""QID16#2_4""}","{""ImportId"":""QID16#2_5""}","{""ImportId"":""QID16#2_6""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID14#1_1""}","{""ImportId"":""QID14#1_2""}","{""ImportId"":""QID14#1_3""}","{""ImportId"":""QID14#1_4""}","{""ImportId"":""QID14#1_5""}","{""ImportId"":""QID14#1_6""}","{""ImportId"":""QID14#2_1""}","{""ImportId"":""QID14#2_2""}","{""ImportId"":""QID14#2_3""}","{""ImportId"":""QID14#2_4""}","{""ImportId"":""QID14#2_5""}","{""ImportId"":""QID14#2_6""}","{""ImportId"":""QID17#1_1""}","{""ImportId"":""QID17#1_2""}","{""ImportId"":""QID17#1_3""}","{""ImportId"":""QID17#1_4""}","{""ImportId"":""QID17#1_5""}","{""ImportId"":""QID17#1_6""}","{""ImportId"":""QID17#2_1""}","{""ImportId"":""QID17#2_2""}","{""ImportId"":""QID17#2_3""}","{""ImportId"":""QID17#2_4""}","{""ImportId"":""QID17#2_5""}","{""ImportId"":""QID17#2_6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID10"",""choiceId"":""1""}","{""ImportId"":""QID10"",""choiceId"":""2""}","{""ImportId"":""QID10"",""choiceId"":""3""}","{""ImportId"":""QID10"",""choiceId"":""4""}","{""ImportId"":""QID10"",""choiceId"":""5""}","{""ImportId"":""QID10"",""choiceId"":""6""}","{""ImportId"":""QID10_6_TEXT""}","{""ImportId"":""QID11"",""choiceId"":""1""}","{""ImportId"":""QID11"",""choiceId"":""2""}","{""ImportId"":""QID11"",""choiceId"":""3""}","{""ImportId"":""QID11"",""choiceId"":""4""}","{""ImportId"":""QID11"",""choiceId"":""5""}","{""ImportId"":""QID11"",""choiceId"":""6""}","{""ImportId"":""QID11_6_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""disease""}","{""ImportId"":""unique_code""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2021-12-03 09:56:34,2021-12-03 09:58:41,IP Address,129.137.96.12,100,127,True,2021-12-03 09:58:41,R_3J2UW4c2x0FWbZQ,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.754,64.9,67.118,12,Unsure,Permissible,Permissible,Permissible,Unsure,Unsure,Not Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,,Permissible,,Permissible,,Unsure,,Permissible,,Permissible,,Unsure,2003,Male,,,,,,,White,,,,,,,,acute schizophrenia,426271,
2021-12-03 09:59:03,2021-12-03 09:59:49,IP Address,129.137.96.12,100,46,True,2021-12-03 09:59:49,R_3lLZbA5ylXVnIO6,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.852,17.628,19.633,14,Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Unsure,Permissible,Permissible,Permissible,Unsure,Unsure,Permissible,,,Permissible,,Unsure,Permissible,,,Permissible,,Unsure,2003,Male,,,,,,,White,,,,,,,None,mild anxiety,511458,
2021-12-03 10:06:16,2021-12-03 10:08:01,IP Address,129.137.96.12,100,104,True,2021-12-03 10:08:01,R_cvaoDVvTYWgp5ER,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,2.552,14.916,17.297,12,Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Unsure,Permissible,,Permissible,,,Unsure,Permissible,,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,White,,,,,,,None.,mild anxiety,230766,
2021-12-03 10:45:48,2021-12-03 10:48:21,IP Address,129.137.96.8,100,153,True,2021-12-03 10:48:21,R_1dNpfdlnEhu57ii,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.72,99.094,101.367,12,Not permissible,Permissible,Permissible,Permissible,Not permissible,Unsure,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Unsure,Not permissible,,Permissible,Permissible,,,Not Permissible,,Permissible,Permissible,,,2003,Male,,,,,,,White,,,,,,,Interesting study,acute schizophrenia,477996,
2021-12-03 10:49:53,2021-12-03 10:50:47,IP Address,129.137.96.8,100,53,True,2021-12-03 10:50:47,R_3GqupIBPWIHDAlt,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.133,23.403,24.545,14,Unsure,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,Unsure,,,,Not permissible,Not permissible,Not Permissible,,,,Not Permissible,Not Permissible,2003,Male,,,,,,,White,,,,,,,,mild anxiety,857262,
2021-12-03 10:49:45,2021-12-03 10:52:59,IP Address,129.137.96.4,100,194,True,2021-12-03 10:53:00,R_3kH3D3nATEkgL3V,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,35.161,143.333,146.268,12,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not permissible,Not Permissible,Unsure,Permissible,Permissible,Permissible,Permissible,,,Permissible,Permissible,Not permissible,,,,Permissible,Permissible,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Male,,,,,,,White,,,,,,,,migraine,967950,
2021-12-03 10:53:31,2021-12-03 10:54:39,IP Address,129.137.96.4,100,68,True,2021-12-03 10:54:40,R_1gLPQspIWhlNHZO,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,2.779,29.515,30.526,14,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not permissible,Permissible,Permissible,Permissible,Permissible,Permissible,Permissible,Permissible,,Permissible,,,Not permissible,Permissible,,Permissible,,,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Male,,,,,,,White,,,,,,,,acute schizophrenia,581889,
